Title,Distributor,Release Date,Rating,Genre1,Genre2,Genre3,Country1,Country2,Country3,Director1,Director2,Director3,Actor1,Actor2,Actor3,"Lifetime
Gross","Preview
Gross","Opening
Day","Opening
Day
Gross","Opening
Day
Screens","Opening
Day
Theatres","Opening
Weekend
Gross","Opening
Weekend
Screens","Opening
Weekend
Theatres","Opening
Week
Gross","Opening
Week
Screens","Opening
Week
Theatres","% of
Opening
Weekend
to Week"
Vinaro Bhagyamu Vishnu Katha,Tolly Movies,18/02/2023,EX,Comedy,Drama,Romance,India,,,Murali Kishor Abburu,,,Kashmira Pardesi,Murali Sharma,Kiran Abbavaram,1593,,Saturday,818,1,1,1593,1,1,,,,
Sir,Tolly Movies,17/02/2023,M,Action,Drama,Romance,India,,,Venky Atluri,,,Tanikella Bharani,Dhanush .,Samyuktha Menon,87243,,Friday,27505,31,30,87243,33,32,,,,
Shehzada,Forum Distribution,17/02/2023,M,Action,Comedy,Drama,India,,,Rohit Dhawan,,,Paresh Rawal,Ronit Roy,Kriti Sanon,83559,,Friday,28660,59,58,83559,59,59,,,,
Enkilum Chandrike,Dream Screens International,17/02/2023,PG,Comedy,,,India,,,Adithyan Chadrashekar,,,Saiju Kurup,Tanvi Ram,Suraj Venjaramoodu,3585,,Friday,986,9,9,3585,10,10,,,,
Golgappe,Zee Studios,17/02/2023,PG,Comedy,Drama,,India,,,Smeep Kang,,,B.N. Sharma,Navneet Dhillon,Binnu Dhillon,3099,,Friday,920,5,5,3099,9,9,,,,
Bakasuran,Other,17/02/2023,EX,Action,Drama,Thriller,India,,,Mohan G.,,,Mansoor Ali Khan,Radha Ravi,Ramachandran Durairaj,186,,Friday,18,1,1,186,1,1,,,,
Ant-Man and The Wasp: Quantumania,Walt Disney,16/02/2023,M,Action,Adventure,Comedy,USA,,,Peyton Reed,,,Paul Rudd,Evangeline Lilly,Michelle Pfeiffer,7540882,1071895,Thursday,1066140,828,283,6468987,828,302,,,,
Winnie-The-Pooh: Blood and Honey,Umbrella Ent.,16/02/2023,R18+,Horror,,,UK,USA,,Rhys Frake-Waterfield,,,Chris Cornell,Richard D. Myers,Natasha Tosini,222205,63810,Thursday,26504,75,75,158396,85,85,,,,
Women Talking,Universal,16/02/2023,M,Drama,,,USA,,,Sarah Polley,,,Rooney Mara,Claire Foy,Frances McDormand,157132,,Thursday,26701,123,121,157132,128,127,,,,
We Are Still Here,Bonsai Films,16/02/2023,M,Drama,,,New Zealand,,,Richard Curtis,Beck Cole,Danielle MacLean,Tioreore Ngatai-Melbourne,Clarence Ryan,Villa Lemanu,97123,87718,Thursday,3758,10,10,9405,20,20,,,,
Close,Madman,16/02/2023,M,Drama,,,Belgium,France,Netherlands,Lukas Dhont,,,Léa Drucker,Kevin Janssens,Émilie Dequenne,76114,46150,Thursday,4329,22,22,29964,23,22,,,,
My Fairy Troublemaker,Rialto,16/02/2023,G,Adventure,Comedy,Animated,Canada,Germany,Luxembourg,Caroline Origer,,,Lisa-Marie Koroll,Jella Haase,Mary Murray,62477,,Thursday,3214,75,75,62477,147,147,,,,
Royal Ballet 2022/23 Season: Like Water For Chocolate,Palace,11/02/2023,EX,Ballet,Live,,UK,,,Christopher Wheeldon,,,Francesca Hayward,Orchestra of the Royal Opera House,,18034,,Saturday,4078,11,11,10305,13,13,17934,13,13,57%
Vaalvi,Zee Studios,11/02/2023,EX,Comedy,Drama,Thriller,India,,,Paresh Mokashi,,,Subodh Bhave,Anita Date,Shivani Surve,955,,Saturday,426,1,1,955,1,1,955,1,1,100%
Amigos,Tolly Movies,10/02/2023,MA15+,Action,Drama,Thriller,India,,,Reddy Rajendra P,,,Ashika Ranganath,Nandamuri Kalyanram,,23815,,Friday,9665,21,21,19579,23,23,23368,23,23,84%
Romancham,Southern Star,10/02/2023,EX,Comedy,Horror,,India,,,Jithu Madhavan,,,Soubin Shahir,Chemban Vinod Jose,Arjun Ashokan,23153,,Friday,2341,1,1,8684,1,1,10668,1,1,81%
Tu Hovein Main Hovan,Forum Distribution,10/02/2023,PG,Drama,Family,Romance,India,,,Vakil Singh,,,Jimmy Shergill,Kulraj Randhawa,Delbar Arya,18910,,Friday,3341,19,19,12880,23,23,18258,23,23,71%
Magic Mike’s Last Dance,Warner Bros.,9/02/2023,M,Comedy,Drama,Romance,USA,,,Steven Soderbergh,,,Channing Tatum,Salma Hayek,Christopher Bencomo,4206021,728285,Thursday,304024,426,283,1687893,474,295,2449149,474,295,69%
Titanic (3D) Re-Release 2023,Walt Disney,9/02/2023,M,Drama,Romance,,USA,Canada,Mexico,James Cameron,,,Leonardo Dicaprio,Kate Winslet,Kathy Bates,958048,,Thursday,58208,208,168,561112,208,196,876970,208,203,64%
"Son, The",Transmission,9/02/2023,M,Drama,,,USA,France,UK,Florian Zeller,,,Hugh Jackman,Laura Dern,Vanessa Kirby,187514,9037,Thursday,13722,105,105,91108,107,107,135989,107,107,67%
Kaguya-sama: Love Is War -The First Kiss That Never Ends,Crunchyroll,9/02/2023,M,Comedy,Animated,Romance,Japan,,,Mamoru Hatakeyama,,,Makoto Furukawa,Konomi Kohara,Haruka Fukuhara,93745,,Thursday,12872,36,36,59286,40,40,76934,40,40,77%
Corsage,Vendetta,9/02/2023,M,Drama,Biography,History,Austria,Luxembourg,France,Marie Kreutzer,,,Vicky Krieps,Jeanne Werner,Florian Teichtmeister,89435,41188,Thursday,3162,30,30,23943,33,33,37065,33,33,65%
Spadikam,Cyber Systems,9/02/2023,EX,Action,Drama,,India,,,Bhadran,,,K.P.A.C. Lalitha,Urvashi,Mohanlal,9449,,Thursday,331,2,2,8516,6,6,9449,6,6,90%
Family Matters,ABS-CBN,9/02/2023,PG,Comedy,Drama,,Philippines,,,Nuel C. Naval,,,Nonie Buencamino,JC Santos,Nikki Valdez,2883,,Thursday,535,4,4,1816,4,4,2883,4,4,63%
André Rieu in Dublin,Piece of Magic Entertainment,4/02/2023,EX,Special Event,Concert,Music,Netherlands,,,Michel Fizzano,Andre Rieu,,Andre Rieu,,,766037,,Saturday,372993,149,147,764233,159,159,765597,159,159,100%
Butta Bomma,Tolly Movies,4/02/2023,,Drama,Romance,,India,,,Chandrasekhar T. Ramesh,,,Anikha Surendran,Arjun Das,Surya Vasishta,355,,Saturday,122,3,3,182,3,3,355,3,3,51%
Kali Jotta,Forum Distribution,3/02/2023,MA15+,Drama,Romance,,India,,,Vijay Kumar Arora,,,Neeru Bajwa,Satinder Sartaaj,wamiqa gabbi,477340,,Friday,36662,29,29,148530,31,31,246493,32,32,60%
"Chosen Season 3 Finale, The",Crossroads,3/02/2023,EX,Drama,,,USA,,,Dallas Jenkins,,,Jonathan Roumie,Shahar Issac,Noah James,77189,,Friday,34905,43,43,74169,43,43,74169,43,43,100%
Michael,Southern Star,3/02/2023,MA15+,Action,Drama,,India,,,Ranjit Jeyakodi,,,Vijay Sethupathi,Sundeep Kishan,Varalaxmi Sarathkumar,16280,,Friday,6255,20,20,13891,24,24,16071,24,24,86%
Writer Padmabhushan,Southern Star,3/02/2023,EX,Comedy,Drama,,India,,,Shanmukha Prasanth,,,Ashish Vidyarthi,Rohini,Suhas,13426,,Friday,4543,4,4,11401,5,5,13426,5,5,85%
Rebels of Thupakula Gudem,Southern Star,3/02/2023,EX,Comedy,Drama,,India,,,Jaideep Vishnu,,,Vineeth Kumar,Sharath,Praveen Kandela,203,,Friday,115,1,1,168,1,1,203,1,1,83%
Knock at the Cabin,Universal,2/02/2023,M,Drama,Horror,Thriller,USA,,,M. Night Syhamalan,,,Dave Bautista,Jonathan Groff,Ben Aldridge,1846329,,Thursday,112325,298,254,811664,314,263,1014059,314,263,80%
"Whale, The",Madman,2/02/2023,M,Comedy,Drama,,USA,,,Darren Aronofsky,,,Brendan Fraser,Sadie Sink,Samantha Morton,1536238,393775,Thursday,62287,149,123,435703,158,125,585403,154,125,74%
Nabil El Gamil,Ceema Films,2/02/2023,EX,Comedy,,,Egypt,,,Khaled Marei,,,Mohamed Henedy,Mahmoud Hafez,Rahma Ahmed,142618,,Thursday,8881,14,14,102356,19,19,119554,19,19,86%
Sword Art Online: Progressive - Scherzo of Deep Night,Crunchyroll,2/02/2023,PG,Action,Adventure,Sci-fi,Japan,,,Ayako Kouno,,,Yoshitsugu Matsuoka,Haruka Tomatsu,Tomokazu Seki,92335,,Thursday,16641,61,61,62343,62,62,75846,62,62,82%
"Honeymoon, The",Kismet / Rialto,2/02/2023,M,Comedy,,,Italy,UK,,Dean Craig,,,Asim Chaudhry,Pico Alexander,Lucas Bravo,9754,,Thursday,702,9,9,5469,14,14,7350,15,15,74%
Ayisha,Cyber Systems,2/02/2023,EX,Comedy,Drama,Family,India,,,Aamir Pallikkal,,,Manju Warrier,Radhika,Krishna Shankar,731,,Thursday,105,1,1,731,1,1,731,1,1,100%
BTS: Yet To Come in Cinemas,Trafalgar Releasing,1/02/2023,G,Concert,Music,,South Korea,,,Yoon Dong Oh,,,Jimin,j-hope,RM,738152,208226,Wednesday,208226,124,121,511485,122,120,511485,122,120,100%
"Met: Live in HD 2022–23: The Hours, The",Sharmill,28/01/2023,EX,Special Event,Opera,,USA,,,Phelim McDermott,,,Renée Fleming,Kelli O'Hara,Joyce Didonato,34035,,Saturday,13386,22,22,23886,23,23,30487,24,24,78%
La Scala: Boris Godunov,Palace,28/01/2023,EX,Opera,,,Italy,,,Kasper Holten,,,,,,13926,,Saturday,4104,10,10,9497,12,12,13926,12,12,68%
Billie Eilish: Live at the O2 (Extended Cut),Trafalgar Releasing,27/01/2023,M,Documentary,Concert,Music,USA,,,Sam Wrench,,,Billie Eilish,Finneas O’Connell,Andrew Marshall,388937,,Friday,388937,99,95,388937,95,95,388937,95,95,100%
Nanpakal Nerathu Mayakkam,Independent,27/01/2023,PG,Drama,,,India,,,Lijo Jose Pellissery,,,Rajesh Sharma,Pramod Shetty,MAMMOOTY,13324,,Friday,1877,3,3,5042,6,6,6737,6,6,75%
What's Love Got to Do With It?,Studiocanal,26/01/2023,M,Comedy,Romance,,UK,,,Shekhar Kapur,,,Lily James,Emma Thompson,Shabana Azmi,2988050,252491,Thursday,238456,303,269,885106,320,279,1197169,315,279,74%
TÁR,Universal,26/01/2023,M,Drama,Musical,,USA,,,Todd Field,,,Cate Blanchett,Nina Hoss,Noémie Merlant,1685463,195051,Thursday,134424,86,68,459594,90,68,623390,90,68,74%
You Can Go Now,Madman,26/01/2023,M,Documentary,,,Australia,,,Larissa Behrendt,,,,,,32042,13553,Thursday,6777,22,22,10535,23,23,13958,23,23,75%
Thankam,Nanma International,26/01/2023,M,Drama,Crime,,India,,,Saheed Arafath,Prinish Prabhakaran,,GIRISH KULKARNI,Biju Menon,Aparna Balamurali,22926,,Thursday,2503,9,9,15350,15,15,20406,15,15,75%
Partners in Crime,ABS-CBN,26/01/2023,M,Action,Comedy,,Philippines,,,Cathy Garcia-molina,,,Vice Ganda,Ivana Alawi,Rez Cortez,6086,,Thursday,1272,4,4,4555,4,4,5517,4,4,83%
Better Man,Little Monster Entertainment,26/01/2023,M,Comedy,,,China,,,Qi Zhang,,,Chang Yuan,Xiang Wei,Chengsi Wang,5434,92,Thursday,1246,9,9,3988,10,10,5122,10,10,78%
Gandhi Godse Ek Yudh,Mindblowing,26/01/2023,MA15+,Drama,History,,India,,,Rajkumar Santoshi,,,Chinmay Mandlekar,Pawan Chopra,Deepak Antani,1837,,Thursday,530,6,6,1219,6,6,1837,7,7,66%
Alone,Cyber Systems,26/01/2023,EX,Thriller,,,India,,,Shaji Kailas,,,Prithviraj Sukumaran,Manju Warrier,Renji Panicker,173,,Thursday,143,1,1,173,1,1,173,1,1,100%
Pathaan,Mindblowing,25/01/2023,MA15+,Action,Drama,Thriller,India,,,Siddharth Anand,,,Deepika Padukone,John Abraham,Shah Rukh Khan,4609586,566745,Wednesday,566745,121,105,2214270,130,111,2788852,130,114,79%
"Wandering Earth II, The",CMC,22/01/2023,M,Action,Adventure,Sci-fi,China,,,Frant Gwo,,,Andy Lau,Jing Wu,Temur Mamisashvili,1801476,,Sunday,164576,39,33,164576,33,33,528375,37,33,31%
"Guilty Conscience, A",Magnum,21/01/2023,MA15+,Drama,Thriller,,Hong Kong,,,Jack Ng,,,Dayo Wong,Michael Wong,Louise Wong,318779,,Saturday,14987,24,24,35222,24,24,81595,24,24,43%
Unleash,Umbrella Ent.,21/01/2023,M,Documentary,,,Australia,,,Mark Cherrett,,,,,,227,,Saturday,197,2,2,197,2,2,197,2,2,100%
Kutch Express,Orion,20/01/2023,EX,Drama,Family,,India,,,Viral Shah,,,Ratna Pathak Shah,Dharmendra Gohil,Manasi Parekh,1308,,Friday,536,1,1,1133,1,1,1308,1,1,87%
Babylon,Paramount,19/01/2023,MA15+,Drama,,,USA,,,Damien Chazelle,,,Brad Pitt,Tobey Maguire,Margot Robbie,3828840,251482,Thursday,221313,308,251,1277058,324,260,1708744,323,260,75%
Big Trip 2: Special Delivery,Rialto,19/01/2023,PG,Adventure,Comedy,Animated,Russia,,,Vasiliy Rovenskiy,Natalya Nilova,,Christine Galyean,,,151481,3426,Thursday,12100,70,70,39644,78,78,74676,85,85,53%
My Old School,Madman,19/01/2023,M,Documentary,Drama,Animated,UK,,,Jono McLeod,,,Alan Cumming,Clare Grogan,Lulu,135348,31956,Thursday,10734,8,8,50529,8,8,54590,8,8,93%
That Time I Got Reincarnated as a Slime The Movie: Scarlet Bond,Crunchyroll,19/01/2023,MA15+,Action,Comedy,Animated,Japan,,,Yasuhito Kikuchi,,,Makoto Furukawa,Riko Fukumoto,Yuma Uchida,116144,,Thursday,20496,40,40,70478,40,40,85825,41,41,82%
Malikappuram,Nanma International,19/01/2023,EX,Drama,,,India,,,Vishnu Sasi Shankar,,,Renji Panicker,Manoj K. Jayan,Unni Mukundan,35294,,Thursday,,,,32096,6,6,35294,6,6,91%
Labyu with an Accent,ABS-CBN,19/01/2023,PG,Comedy,Romance,,Philippines,,,Coco Martin,Malu Sevilla,,Coco Martin,Jodi Sta. Maria,John Estrada,12772,,Thursday,786,4,4,5517,4,4,8752,4,4,63%
Emily the Criminal,Park Circus,17/01/2023,M,Drama,Thriller,Crime,USA,,,John Patton Ford,,,Aubrey Plaza,Jonathan Avigdori,Theo Rossi,1990,1042,Tuesday,1042,1,1,,,,,,,
Waltair Veerayya,Tolly Movies,13/01/2023,MA15+,Action,Comedy,Drama,India,,,K S Ravindra,,,Shruti Haasan,Chiranjeevi,Bobby Simha,297576,,Friday,103635,44,43,218962,47,47,261162,47,47,84%
Someday or One Day,CMC,13/01/2023,M,Drama,Romance,Fantasy,Taiwan,China,,Tianren Huang,Tien Jen Huang,,Patrick Shih,Greg Hsu,Ko Chia-yen,181354,,Friday,19572,12,12,81088,18,18,108524,19,19,75%
Kuttey,Mindblowing,13/01/2023,MA15+,Action,Comedy,Crime,India,,,Luv Ranjan,Aasmaan Bhardwaj,,Arjun Kapoor,Naseeruddin Shah,Konkona Sen Sharma,13153,,Friday,3201,17,17,9472,18,18,12900,18,18,73%
M3GAN,Universal,12/01/2023,M,Horror,Thriller,,USA,New Zealand,,Gerard Johnstone,,,Allison Williams,Violet McGraw,Ronny Chieng,6460880,214427,Thursday,445389,267,241,1925842,271,242,2699016,272,242,71%
Operation Fortune: Ruse de guerre,Roadshow,12/01/2023,M,Action,Thriller,,USA,China,,Guy Ritchie,,,Aubrey Plaza,Jason Statham,Josh Hartnett,6299397,710465,Thursday,283354,313,266,1597853,320,269,2181873,320,269,73%
"Amazing Maurice, The",Icon,12/01/2023,PG,Family,Animated,,UK,Germany,,Toby Genkel,Florian Westermann,,Hugh Laurie,Emilia Clarke,David Thewlis,841996,37778,Thursday,41598,176,174,150143,185,183,322863,186,184,47%
Emily,Madman,12/01/2023,M,Drama,Biography,,UK,USA,,Frances O'connor,,,Gemma Jones,Adrian Dunbar,Fionn Whitehead,502123,149051,Thursday,14255,60,60,86967,61,60,141446,60,60,61%
Veera Simha Reddy,Tolly Movies,12/01/2023,MA15+,Action,,,India,,,Gopichand Malineni,,,Shruti Haasan,Varalaxmi Sarathkumar,Nandamuri Balakrishna,161303,,Thursday,104362,40,39,148207,43,42,156272,43,42,95%
Varisu,MKS Retail,11/01/2023,M,Action,Drama,,India,,,Vamsi Paidipally,,,Joseph Vijay,Prakash Raj,Rashmika Mandanna,645627,141205,Wednesday,141205,39,36,341519,66,65,407707,66,65,84%
Thunivu,Southern Star,11/01/2023,MA15+,Action,,,India,,,H. Vinoth,,,Ajith Kumar,Manju Warrier,John Kokken,342173,64234,Wednesday,64234,32,32,186209,44,43,222602,44,43,84%
Okkadu,Tolly Movies,7/01/2023,EX,Action,Drama,,India,,,Gunasekhar,,,Mahesh Babu,Prakash Raj,Ajay,3480,,Saturday,3480,3,3,3480,3,3,3480,3,3,100%
Mummies,Warner Bros.,5/01/2023,PG,Adventure,Comedy,Family,Spain,,,Juan Jesús García Galocha,,,Eleanor Tomlinson,Celia Imrie,Joe Thomas,1556550,,Thursday,112810,191,190,333603,193,192,556124,193,192,60%
"Fabelmans, The",Studiocanal,5/01/2023,M,Drama,,,USA,,,Steven Spielberg,,,Michelle Williams,Seth Rogen,Paul Dano,1510967,114814,Thursday,87340,189,170,422632,194,172,581950,192,172,73%
Marcel the Shell with Shoes On,Park Circus,5/01/2023,PG,Adventure,Comedy,Drama,USA,,,Dean Fleischer-Camp,,,Jenny Slate,Isabella Rossellini,Thomas Mann,256292,27430,Thursday,9968,32,32,38144,32,32,62439,32,32,61%
Transfusion,Madman,5/01/2023,MA15+,Thriller,Crime,,Australia,,,Matt Nable,,,Sam Worthington,Phoebe Tonkin,Edward Carmody,8158,,Thursday,1240,7,7,4871,8,8,6017,8,8,81%
"Man Called Otto, A",Sony,1/01/2023,M,Comedy,Drama,Black Comedy,USA,Sweden,,Marc Forster,,,Tom Hanks,Manuel Garcia-Rulfo,Mariana Treviño,7452792,,Sunday,480732,305,266,1339520,305,266,2633879,305,268,51%
Blueback,Roadshow,1/01/2023,PG,Drama,Family,,Australia,,,Robert Connolly,,,Eric Bana,Radha Mitchell,Mia Wasikowska,2103156,117282,Sunday,116186,275,267,367080,272,272,755011,274,274,49%
Khushi,Tolly Movies,31/12/2022,PG,Drama,Romance,,India,,,S.J. Suryah,,,Pawan Kalyan,Bhoomika Chawla,Sivaji Raja,8141,,Saturday,2090,1,1,3368,1,1,3368,1,1,100%
Sembi,Southern Star,30/12/2022,EX,Drama,,,India,,,Prabu Solomon,,,Ashwin Kumar,Kovai Sarala,Jeevan,203,,Friday,27,1,1,203,1,1,203,1,1,100%
Serengeti 3D: Journey to the Heart of Africa,Imax,29/12/2022,EX,Documentary,,,USA,,,,,,,,,145260,4934,Thursday,5672,1,1,17013,1,1,36459,1,1,47%
Puss in Boots: The Last Wish,Universal,26/12/2022,PG,Adventure,Comedy,Family,USA,,,Joel Crawford,Januel Mercado,,Antonio Banderas,Salma Hayek,Florence Pugh,20735643,2972877,Monday,482290,392,273,2168802,405,283,3929549,405,283,55%
"Lyle, Lyle, Crocodile",Sony,26/12/2022,G,Adventure,Family,Musical,USA,,,Josh Gordon,Will Speck,,Javier Bardem,Constance Wu,Winslow Fegley,12115035,2144245,Monday,363342,338,282,1576499,371,294,2972544,371,295,53%
Whitney Houston: I Wanna Dance With Somebody,Sony,26/12/2022,M,Drama,Biography,Music,USA,,,Kasi Lemmons,,,Naomi Ackie,Stanley Tucci,Tamara Tunie,5524931,1073662,Monday,368426,316,272,1201743,353,288,2250792,353,288,53%
"Banshees of Inisherin, The",Walt Disney,26/12/2022,M,Drama,,,USA,Ireland,UK,Martin McDonagh,,,Colin Farrell,Brendan Gleeson,Kerry Condon,5139641,926743,Monday,213160,108,75,659306,109,76,1287883,111,77,51%
Triangle of Sadness,Sharmill,26/12/2022,M,Comedy,Drama,,USA,France,Greece,Ruben Östlund,,,Woody Harrelson,Harris Dickinson,Charlbi Dean,2018858,414045,Monday,63130,58,51,202509,56,51,400356,57,52,51%
"Lost King, The",Transmission,26/12/2022,M,Drama,,,UK,,,Stephen Frears,,,Sally Hawkins,Harry Lloyd,Steve Coogan,1151905,375073,Monday,56243,118,116,214626,121,118,399723,121,118,54%
Cirkus,Mindblowing,23/12/2022,PG,Comedy,Drama,,India,,,Rohit Shetty,,,Jacqueline Fernandez,Johnny Lever,Sanjay Mishra,283014,,Friday,39160,92,91,120210,96,95,194519,98,97,62%
Dhamaka,Southern Star,23/12/2022,MA15+,Drama,Thriller,Crime,India,,,Ram Madhvani,,,Kartik Aaryan,Mrunal Thakur,Amruta Subhash,76627,,Friday,12828,20,20,35329,20,20,55793,20,20,63%
18 Pages,Tolly Movies,23/12/2022,M,Family,Romance,,India,,,Pankaj Kumar,Palnati Surya Pratap,,Nikhil Siddharth,Anupama Parameswaran,DJ Express,37223,,Friday,8196,28,28,20981,29,29,30613,29,29,69%
"Sparring Partner, The",CMC,22/12/2022,MA15+,Drama,Crime,,Hong Kong,,,Cheuk Tin Ho,,,Louisa So,Michael Chow,Pui Tung Mak,59934,,Thursday,3460,7,7,17394,7,7,33679,7,7,52%
Royal Ballet: The Nutcracker,Palace,22/12/2022,EX,Ballet,Live,,UK,,,Peter Wright,,,William Bracewell,Orchestra of the Royal Opera House,Fumi Kaneko,29926,2501,Thursday,9819,12,12,27425,14,14,27425,14,14,100%
"Met: Live in HD 2022–23: La Traviata (Verdi), The",Sharmill,17/12/2022,EX,Special Event,Opera,Live,USA,,,Michael Mayer,,,Nadine Sierra,Stephen Costello,Luca Salsi,33066,,Saturday,11393,21,21,23137,22,22,31247,23,23,74%
Opera de Paris: The Capulets and The Montagues,Palace,17/12/2022,EX,Opera,,,France,,,Robert Carsen,,,,,,6284,,Saturday,1651,10,10,4071,12,12,6284,12,12,65%
Avatar: The Way of Water,Walt Disney,15/12/2022,M,Action,Adventure,Thriller,USA,New Zealand,,James Cameron,,,Sam Worthington,Zoe Saldana,Kate Winslet,91458372,1846552,Thursday,2946781,1281,308,14744774,1281,314,21756712,1281,314,68%
Mister Organ,Madman,10/12/2022,MA15+,Documentary,,,New Zealand,,,David Farrier,,,,,,22583,,Saturday,7840,11,11,12574,17,17,16250,17,17,77%
Royal Ballet: A Diamond Celebration,Palace,10/12/2022,EX,Ballet,Live,,UK,,,,,,Matthew Ball,Cesar Corrales,Vadim Muntagirov,13459,,Saturday,4470,10,10,9214,12,12,13459,12,12,68%
Mukundan Unni Associates,Cyber Systems,10/12/2022,EX,Comedy,Drama,Crime,India,,,Abhinav Sunder Nayak,,,Salim Kumar,Vineeth Sreenivasan,Sudhi Koppa,556,,Saturday,149,1,1,502,2,2,556,2,2,90%
Naai Sekar Returns,Vansan Movies,9/12/2022,M,Comedy,,,India,,,Suraj,,,Rao Ramesh,Anandraj .,RJ Vigneshkanth,18246,,Friday,4320,17,17,13630,19,19,16667,19,19,82%
Salaam Venky,Mindblowing,9/12/2022,PG,Drama,Family,,India,,,Revathi,,,Aamir Khan,Aahana Kumra,Prakash Raj,4137,,Friday,30,2,2,506,2,2,893,2,2,57%
Vadh,Mindblowing,9/12/2022,MA15+,Thriller,Crime,,India,,,Rajeev Barnwal,,,Sanjay Mishra,Manav Vij,Neena Gupta,1678,,Friday,342,8,8,1040,10,10,1678,10,10,62%
Vijayanand,Southern Star,9/12/2022,M,Drama,Family,Biography,India,,,Rishika Sharma,,,Anant Nag,Prakash Belawadi,Vinaya Prasad,905,,Friday,164,7,7,658,11,11,905,13,13,73%
Mukhachitram,Tolly Movies,9/12/2022,EX,Thriller,,,India,,,Gangadhar,,,Vishwak Sen,Priya Vadlamani,P. Ravishankar,546,,Friday,192,1,1,546,1,1,546,1,1,100%
Panchathantram,Tolly Movies,9/12/2022,EX,Drama,,,India,,,Harsha Pulipaka,,,Swathi Reddy,Rahul Vijay,Shivathmika,301,,Friday,47,1,1,213,1,1,301,1,1,71%
Saudi Vellakka,Southern Star,9/12/2022,EX,Drama,,,India,,,Tharun Moorthy,,,Sudhi Koppa,Binu Pappu,Lukman,285,,Friday,112,1,1,265,4,4,285,4,4,93%
Gurthunda Seethakalam,Tolly Movies,9/12/2022,EX,Drama,Romance,,India,,,Nagashekar,,,Tamannaah Bhatia,Megha Akash,Satyadev Kancharana,210,,Friday,155,1,1,155,1,1,210,1,1,74%
Tad the Explorer: The Mummy Adventure,Paramount,8/12/2022,PG,Adventure,Comedy,Animated,Spain,,,Enrique Gato,,,Michelle Jenner,Ben Cura,,532203,990,Thursday,16324,155,154,103911,227,225,199602,228,227,52%
"Road Dance, The",Maslow / Umbrella,8/12/2022,M,Drama,,,UK,,,Richie Adams,,,Morven Christie,David Brooks,Hermione Corfield,162103,57371,Thursday,4741,31,31,27598,34,34,44217,35,35,62%
Ennio - The Maestro,Hi Gloss,8/12/2022,M,Documentary,Musical,Special Event,Italy,Belgium,Netherlands,Giuseppe Tornatore,,,Clint Eastwood,Quentin Tarantino,Hans Zimmer,105666,64327,Thursday,831,13,13,12257,14,14,16927,14,14,72%
Gold (Dir. Puthren),Dream Screens International,8/12/2022,M,Comedy,Drama,Family,India,,,Alphonse Puthren,,,Prithviraj Sukumaran,Nayanthara,Chemban Vinod Jose,13512,,Thursday,2741,29,29,10945,39,39,13299,40,40,82%
Avarice,Backlot Films,8/12/2022,M,Action,Thriller,,Australia,,,John V. Soto,,,Luke Ford,Tom O'Sullivan,Gillian Alexy,10613,1442,Thursday,993,13,13,5019,13,13,7049,13,13,71%
Neptune Frost,Static Vision,8/12/2022,M,Musical,Sci-fi,,USA,Rwanda,France,Saul Williams,Anisia Uzeyman,,Eliane Umuhire,Ekaterina Baker,Dorcy Rugamba,10326,552,Thursday,261,3,3,1991,3,3,4144,3,3,48%
Moja Vesna,Bonsai Films,8/12/2022,M,Drama,,,Australia,,,Sarah Kern,,,Claudia Karvan,Loti Kovacic,Mackenzie Mazur,5417,779,Thursday,112,4,4,1237,6,6,2342,6,6,53%
Chunky Shrapnel,Abramorama Films,7/12/2022,EX,Documentary,Musical,,Australia,,,John Angus Stewart,,,,,,16076,15815,Wednesday,15815,22,22,261,4,4,261,4,4,100%
NT Live 2022: Much Ado About Nothing,Sharmill,3/12/2022,EX,Special Event,Live,,UK,,,Simon Godwin,,,Katherine Parkinson,John Heffernan,Ioanna Kimbook,30652,,Saturday,9140,27,27,21642,28,28,28049,29,29,77%
HIT: The 2nd Case,Tolly Movies,2/12/2022,MA15+,Action,Thriller,Crime,India,,,Dr Sailesh Kolanu,,,Rao Ramesh,Tanikella Bharani,Posani Krishna Murali,161814,,Friday,50275,33,31,120956,35,34,147641,35,34,82%
An Action Hero,Tolly Movies,2/12/2022,M,Action,,,India,,,Anirudh Iyer,,,Ayushmann Khurrana,Hiten Patel,Mirabel Stuart,52974,,Friday,5693,31,31,24327,37,37,38078,37,37,64%
Snowman,Mindblowing,2/12/2022,MA15+,Action,Drama,,India,,,Rana Ranbir,,,Neeru Bajwa,Rana Ranbir,Jazzy B.,22094,,Friday,3122,20,20,13778,24,24,18487,25,25,75%
DSP,MKS Retail,2/12/2022,M,Action,Drama,,India,,,Ponram .,,,Vijay Sethupathi,Shivani .,Pugazh,11510,,Friday,4627,19,19,9736,24,24,11010,25,25,88%
Gatta Kusthi,Southern Star,2/12/2022,PG,Comedy,,,India,,,Chella Ayyavu,Chellaya ayyavu,,Vishnu Vishal,Aiswarya Lakhsmi,Munishkanth,4499,,Friday,731,5,5,3211,9,9,4057,10,10,79%
Violent Night,Universal,1/12/2022,MA15+,Thriller,,,USA,,,Tommy Wirkola,,,David Harbour,John Leguizamo,Beverly D'Angelo,2566914,,Thursday,104569,271,243,659213,297,259,930885,293,259,71%
